ProduktID;MHD;Batch
produkt_65;28.02.2025;899
produkt_66;27.10.2025;761
produkt_67;19.01.2025;116
produkt_68;16.08.2025;528
produkt_69;06.02.2025;273
produkt_70;05.11.2025;536
produkt_71;16.06.2025;591
produkt_72;03.02.2025;675
produkt_73;12.02.2025;325
produkt_74;01.06.2025;424
produkt_75;14.12.2025;867
produkt_76;25.07.2025;925
produkt_77;16.11.2025;333
produkt_78;30.01.2025;227
produkt_79;06.07.2025;199
produkt_80;24.04.2025;613
produkt_81;21.04.2025;399
produkt_82;27.11.2025;375
produkt_83;04.03.2025;677
produkt_84;31.08.2025;179
produkt_85;26.08.2025;234
produkt_86;10.05.2025;779
produkt_87;24.03.2025;715
produkt_88;03.01.2025;455
produkt_89;27.12.2025;644
produkt_90;23.02.2025;957
produkt_91;29.06.2025;286
produkt_92;12.01.2025;836
produkt_93;01.04.2025;525
produkt_94;21.04.2025;964
produkt_95;18.08.2025;253
produkt_96;21.06.2025;668
produkt_97;01.02.2025;476
produkt_98;25.01.2025;819
produkt_99;15.10.2025;436
produkt_100;12.02.2025;784
produkt_101;20.05.2025;93
produkt_102;15.10.2025;621
produkt_103;02.03.2025;663
produkt_104;08.02.2025;773
produkt_105;14.01.2025;640
produkt_106;19.04.2025;918
produkt_107;06.05.2025;361
produkt_108;03.10.2025;458
produkt_109;25.12.2025;299
produkt_110;31.05.2025;751
produkt_111;24.02.2025;809
produkt_112;23.03.2025;868
produkt_113;12.09.2025;361
produkt_114;28.02.2025;865
produkt_115;17.02.2025;544
produkt_116;22.03.2025;802
produkt_117;23.03.2025;282
produkt_118;04.10.2025;770
produkt_119;11.11.2025;577
produkt_120;09.03.2025;876
produkt_121;27.12.2025;219
produkt_122;05.12.2025;65
produkt_123;08.01.2025;370
produkt_124;27.12.2025;417
produkt_125;04.01.2025;807
produkt_126;16.03.2025;519
produkt_127;13.12.2025;860
produkt_128;05.03.2025;273
produkt_129;31.12.2025;639
produkt_130;14.01.2025;70
produkt_131;09.07.2025;899
produkt_132;09.09.2025;471
produkt_133;13.11.2025;567
produkt_134;25.03.2025;205
produkt_135;28.10.2025;591
produkt_136;15.07.2025;461
produkt_137;30.05.2025;649
produkt_138;22.11.2025;519
produkt_139;08.01.2025;839
produkt_140;22.03.2025;248
produkt_141;07.12.2025;813
produkt_142;15.03.2025;340
produkt_143;04.10.2025;260
produkt_144;20.09.2025;333
produkt_145;04.09.2025;555
produkt_146;05.09.2025;116
produkt_147;18.01.2025;775
produkt_148;31.12.2025;282
produkt_149;07.04.2025;756
produkt_150;13.03.2025;84
produkt_151;12.12.2025;346
produkt_152;05.08.2025;551
produkt_153;16.06.2025;395
produkt_154;17.05.2025;299
produkt_155;23.12.2025;884
produkt_156;23.05.2025;471
produkt_157;22.01.2025;173
produkt_158;13.04.2025;238
produkt_159;19.12.2025;252
produkt_160;09.04.2025;142
produkt_161;12.12.2025;473
produkt_162;10.12.2025;635
produkt_163;29.08.2025;936
produkt_164;31.01.2025;288
produkt_165;01.05.2025;987
produkt_166;16.11.2025;703
produkt_167;11.01.2025;718
produkt_168;18.07.2025;237
produkt_169;17.10.2025;130
produkt_170;16.01.2025;93
produkt_171;05.03.2025;665
produkt_172;20.12.2025;431
produkt_173;13.07.2025;504
produkt_174;13.08.2025;408
produkt_175;13.08.2025;987
produkt_176;23.04.2025;91
produkt_177;07.06.2025;598
produkt_178;22.02.2025;910
produkt_179;12.08.2025;346
produkt_180;08.04.2025;89
produkt_181;20.04.2025;608
produkt_182;06.06.2025;652
produkt_183;15.09.2025;478
produkt_184;25.02.2025;568
produkt_185;21.05.2025;817
produkt_186;09.06.2025;370
produkt_187;21.01.2025;175
produkt_188;24.10.2025;292
produkt_189;05.03.2025;583
produkt_190;20.03.2025;998
produkt_191;12.12.2025;619
produkt_192;03.06.2025;741
produkt_193;31.10.2025;709
produkt_194;25.08.2025;118
produkt_195;07.03.2025;128
produkt_196;10.01.2025;291
produkt_197;13.04.2025;589
produkt_198;12.12.2025;354
produkt_199;06.09.2025;94
produkt_200;07.07.2025;314
produkt_201;07.02.2025;917
produkt_202;29.01.2025;334
produkt_203;26.12.2025;863
produkt_204;10.07.2025;714
produkt_205;28.12.2025;447
produkt_206;01.04.2025;435
produkt_207;25.09.2025;329
produkt_208;15.01.2025;769
produkt_209;10.03.2025;560
produkt_210;03.08.2025;971
produkt_211;25.11.2025;833
produkt_212;16.03.2025;76
produkt_213;06.12.2025;627
produkt_214;12.06.2025;830
produkt_215;21.01.2025;384
produkt_216;31.07.2025;561
produkt_217;15.07.2025;64
produkt_218;18.12.2025;316
produkt_219;20.07.2025;407
produkt_220;29.01.2025;127
produkt_221;15.06.2025;368
produkt_222;26.08.2025;600
produkt_223;06.04.2025;151
produkt_224;25.03.2025;197
produkt_225;06.11.2025;766
produkt_226;24.10.2025;895
produkt_227;09.09.2025;473
produkt_228;23.04.2025;289
produkt_229;03.03.2025;99
produkt_230;15.05.2025;312
produkt_231;05.05.2025;399
produkt_232;18.09.2025;569
produkt_233;14.02.2025;523
produkt_234;13.04.2025;625
produkt_235;29.11.2025;509
produkt_236;30.07.2025;704
produkt_237;05.12.2025;560
produkt_238;01.10.2025;228
produkt_239;02.12.2025;642
produkt_240;06.04.2025;243
produkt_241;27.08.2025;430
produkt_242;04.07.2025;978
produkt_243;03.08.2025;866
produkt_244;12.03.2025;783
produkt_245;18.10.2025;533
produkt_246;18.06.2025;571
produkt_247;07.07.2025;685
produkt_248;09.07.2025;84
produkt_249;29.06.2025;475
produkt_250;22.07.2025;585
produkt_251;16.09.2025;588
produkt_252;03.04.2025;370
produkt_253;03.12.2025;87
produkt_254;10.02.2025;661
produkt_255;24.09.2025;615
produkt_256;09.06.2025;157
produkt_257;08.04.2025;377
produkt_258;12.10.2025;491
produkt_259;11.03.2025;165
produkt_260;27.08.2025;818
produkt_261;04.01.2025;396
produkt_262;08.10.2025;905
produkt_263;18.12.2025;751
produkt_264;23.07.2025;962
produkt_265;31.03.2025;423
produkt_266;22.06.2025;838
produkt_267;16.02.2025;145
produkt_268;17.01.2025;197
produkt_269;07.06.2025;401
produkt_270;30.06.2025;639
produkt_271;19.11.2025;477
produkt_272;19.07.2025;298
produkt_273;17.02.2025;911
produkt_274;26.09.2025;473
produkt_275;21.02.2025;98
produkt_276;08.04.2025;159
produkt_277;12.01.2025;585
produkt_278;28.08.2025;219
produkt_279;28.05.2025;526
produkt_280;16.08.2025;607
produkt_281;17.12.2025;146
produkt_282;27.07.2025;979
produkt_283;10.01.2025;600
produkt_284;10.05.2025;808
produkt_285;17.02.2025;55
produkt_286;11.05.2025;809
produkt_287;07.09.2025;221
produkt_288;26.04.2025;244
produkt_289;18.05.2025;129
produkt_290;25.01.2025;810
produkt_291;09.01.2025;221
produkt_292;29.09.2025;328
produkt_293;06.12.2025;601
produkt_294;02.12.2025;552
produkt_295;24.04.2025;64
produkt_296;16.10.2025;653
produkt_297;03.10.2025;664
produkt_298;28.04.2025;995
produkt_299;04.04.2025;63
produkt_300;29.06.2025;967
produkt_301;02.08.2025;154
produkt_302;16.03.2025;945
produkt_303;20.02.2025;817
produkt_304;28.10.2025;320
produkt_305;02.11.2025;310
produkt_306;23.04.2025;757
produkt_307;11.02.2025;733
produkt_308;03.04.2025;261
produkt_309;04.02.2025;154
produkt_310;30.01.2025;526
produkt_311;13.03.2025;523
produkt_312;10.06.2025;96
produkt_313;23.01.2025;738
produkt_314;09.04.2025;655
produkt_315;26.08.2025;713
produkt_316;25.09.2025;512
produkt_317;16.08.2025;505
produkt_318;16.11.2025;301
produkt_319;09.05.2025;268
produkt_320;05.07.2025;194
produkt_321;12.02.2025;725
produkt_322;29.12.2025;107
produkt_323;11.02.2025;176
produkt_324;20.10.2025;297
produkt_325;16.07.2025;100
produkt_326;07.12.2025;517
produkt_327;15.02.2025;339
produkt_328;27.05.2025;297
produkt_329;20.11.2025;722
produkt_330;17.05.2025;801
produkt_331;10.06.2025;956
produkt_332;21.05.2025;969
produkt_333;04.10.2025;151
produkt_334;13.01.2025;566
produkt_335;06.01.2025;588
produkt_336;04.10.2025;300
produkt_337;01.03.2025;697
produkt_338;21.02.2025;644
produkt_339;13.08.2025;539
produkt_340;12.10.2025;533
produkt_341;13.09.2025;560
produkt_342;23.11.2025;503
produkt_343;27.09.2025;827
produkt_344;13.11.2025;703
produkt_345;13.09.2025;81
produkt_346;14.05.2025;202
produkt_347;26.09.2025;815
produkt_348;14.02.2025;587
produkt_349;06.10.2025;322
produkt_350;29.05.2025;907
produkt_351;26.07.2025;831
produkt_352;29.10.2025;762
produkt_353;04.09.2025;291
produkt_354;18.01.2025;464
produkt_355;23.06.2025;906
produkt_356;13.08.2025;850
produkt_357;19.10.2025;673
produkt_358;27.03.2025;699
produkt_359;21.11.2025;485
produkt_360;03.10.2025;764
produkt_361;10.03.2025;571
produkt_362;07.12.2025;873
produkt_363;11.04.2025;489
produkt_364;22.06.2025;455
produkt_365;17.10.2025;645
produkt_366;01.10.2025;349
produkt_367;10.09.2025;719
produkt_368;06.02.2025;610
produkt_369;29.03.2025;572
produkt_370;12.03.2025;164
produkt_371;18.10.2025;609
produkt_372;11.04.2025;675
produkt_373;28.12.2025;351
produkt_374;13.07.2025;67
produkt_375;22.05.2025;400
produkt_376;17.02.2025;343
produkt_377;04.08.2025;583
produkt_378;28.02.2025;173
produkt_379;24.11.2025;183
produkt_380;25.08.2025;93
produkt_381;10.07.2025;844
produkt_382;21.09.2025;895
produkt_383;31.03.2025;727
produkt_384;23.09.2025;77
produkt_385;10.05.2025;229
produkt_386;05.06.2025;203
produkt_387;19.06.2025;79
produkt_388;10.03.2025;341
produkt_389;25.06.2025;535
produkt_390;05.06.2025;305
produkt_391;19.02.2025;198
produkt_392;19.05.2025;858
produkt_393;10.10.2025;259
produkt_394;26.08.2025;270
produkt_395;04.10.2025;822
produkt_396;07.05.2025;770
produkt_397;17.09.2025;922
produkt_398;28.08.2025;720
produkt_399;26.10.2025;870
produkt_400;09.06.2025;241
produkt_401;27.11.2025;737
produkt_402;27.12.2025;163
produkt_403;06.08.2025;190
produkt_404;31.05.2025;477
produkt_405;07.03.2025;691
produkt_406;02.04.2025;254
produkt_407;13.10.2025;430
produkt_408;22.12.2025;128
produkt_409;02.09.2025;923
produkt_410;15.11.2025;430
produkt_411;20.05.2025;148
produkt_412;06.01.2025;787
produkt_413;28.04.2025;513
produkt_414;24.10.2025;869
produkt_415;24.08.2025;803
produkt_416;13.10.2025;810
produkt_417;15.03.2025;432
produkt_418;24.03.2025;858
produkt_419;31.01.2025;413
produkt_420;23.07.2025;646
produkt_421;21.12.2025;96
produkt_422;19.11.2025;368
produkt_423;06.11.2025;563
produkt_424;12.03.2025;339
produkt_425;20.07.2025;627
produkt_426;28.04.2025;478
produkt_427;29.06.2025;905
produkt_428;02.11.2025;459
produkt_429;22.04.2025;448
produkt_430;02.03.2025;815
produkt_431;29.11.2025;843
produkt_432;12.10.2025;694
produkt_433;12.09.2025;399
produkt_434;01.09.2025;830
produkt_435;13.11.2025;157
produkt_436;17.02.2025;95
produkt_437;05.04.2025;224
produkt_438;17.03.2025;310
produkt_439;16.11.2025;788
produkt_440;01.12.2025;957
produkt_441;10.07.2025;665
produkt_442;29.01.2025;861
produkt_443;08.01.2025;963
produkt_444;09.08.2025;237
produkt_445;01.02.2025;755
produkt_446;12.03.2025;583
produkt_447;30.01.2025;339
produkt_448;13.02.2025;867
produkt_449;22.03.2025;307
produkt_450;01.10.2025;121
produkt_451;17.02.2025;678
produkt_452;08.04.2025;367
produkt_453;14.06.2025;241
produkt_454;06.11.2025;950
produkt_455;26.12.2025;883
produkt_456;11.04.2025;118
produkt_457;05.11.2025;329
produkt_458;10.03.2025;916
produkt_459;12.03.2025;781
produkt_460;23.11.2025;911
produkt_461;17.05.2025;505
produkt_462;11.06.2025;114
produkt_463;13.12.2025;278
produkt_464;21.08.2025;53
produkt_465;16.09.2025;610
produkt_466;14.09.2025;161
produkt_467;29.11.2025;177
produkt_468;13.09.2025;661
produkt_469;15.03.2025;189
produkt_470;15.12.2025;748
produkt_471;14.09.2025;969
produkt_472;30.08.2025;221
produkt_473;17.06.2025;785
produkt_474;23.05.2025;828
produkt_475;09.06.2025;477
produkt_476;27.09.2025;776
produkt_477;21.01.2025;829
produkt_478;10.12.2025;275
produkt_479;09.11.2025;624
produkt_480;09.11.2025;975
produkt_481;20.03.2025;419
produkt_482;04.04.2025;175
produkt_483;05.08.2025;684
produkt_484;16.04.2025;789
produkt_485;23.10.2025;177
produkt_486;18.08.2025;435
produkt_487;15.11.2025;622
produkt_488;18.05.2025;257
produkt_489;04.08.2025;605
produkt_490;28.06.2025;993
produkt_491;21.05.2025;841
produkt_492;03.12.2025;717
produkt_493;11.12.2025;981
produkt_494;17.07.2025;594
produkt_495;20.10.2025;856
produkt_496;27.12.2025;226
produkt_497;14.09.2025;560
produkt_498;25.02.2025;830
produkt_499;24.07.2025;278
produkt_500;10.12.2025;258
produkt_501;23.08.2025;233
produkt_502;31.10.2025;66
produkt_503;11.12.2025;759
produkt_504;02.01.2025;883
produkt_505;30.01.2025;108
produkt_506;29.04.2025;440
produkt_507;04.08.2025;459
produkt_508;28.11.2025;126
produkt_509;25.09.2025;497
produkt_510;15.02.2025;358
produkt_511;22.07.2025;186
produkt_512;10.02.2025;603
produkt_513;30.11.2025;918
produkt_514;29.12.2025;172
produkt_515;18.07.2025;60
produkt_516;27.10.2025;257
produkt_517;11.08.2025;833
produkt_518;31.05.2025;433
produkt_519;20.02.2025;540
produkt_520;23.07.2025;777
produkt_521;27.08.2025;790
produkt_522;07.08.2025;754
produkt_523;27.09.2025;180
produkt_524;02.08.2025;717
produkt_525;23.07.2025;731
produkt_526;01.05.2025;887
produkt_527;06.04.2025;884
produkt_528;23.11.2025;875
produkt_529;15.09.2025;674
produkt_530;06.12.2025;421
produkt_531;01.04.2025;190
produkt_532;05.03.2025;891
produkt_533;12.01.2025;152
produkt_534;21.01.2025;168
produkt_535;29.11.2025;993
produkt_536;05.02.2025;644
produkt_537;03.12.2025;748
produkt_538;15.11.2025;757
produkt_539;15.12.2025;350
produkt_540;15.01.2025;527
produkt_541;28.06.2025;803
produkt_542;19.12.2025;986
produkt_543;11.08.2025;74
produkt_544;10.09.2025;147
produkt_545;24.01.2025;196
produkt_546;18.10.2025;881
produkt_547;22.10.2025;988
produkt_548;04.03.2025;53
produkt_549;10.06.2025;906
produkt_550;22.08.2025;631
produkt_551;15.12.2025;471
produkt_552;20.02.2025;986
produkt_553;30.04.2025;83
produkt_554;20.09.2025;938
produkt_555;29.03.2025;377
produkt_556;01.09.2025;600
produkt_557;09.09.2025;119
produkt_558;29.09.2025;799
produkt_559;06.04.2025;362
produkt_560;15.02.2025;477
produkt_561;20.03.2025;72
produkt_562;03.05.2025;765
produkt_563;21.11.2025;303
produkt_564;08.04.2025;118
produkt_565;31.10.2025;448
produkt_566;10.12.2025;446
produkt_567;07.09.2025;724
produkt_568;25.04.2025;945
produkt_569;31.10.2025;216
produkt_570;04.11.2025;78
produkt_571;19.04.2025;560
produkt_572;24.04.2025;574
produkt_573;17.05.2025;288
produkt_574;09.12.2025;492
produkt_575;14.03.2025;725
produkt_576;02.12.2025;138
produkt_577;08.07.2025;294
produkt_578;01.09.2025;365
produkt_579;24.08.2025;244
produkt_580;15.01.2025;444
produkt_581;27.10.2025;657
produkt_582;21.07.2025;151
produkt_583;16.08.2025;456
produkt_584;25.07.2025;81
produkt_585;16.05.2025;504
produkt_586;28.05.2025;752
produkt_587;16.03.2025;503
produkt_588;27.04.2025;403
produkt_589;23.03.2025;441
produkt_590;27.01.2025;569
produkt_591;04.07.2025;783
produkt_592;23.11.2025;999
produkt_593;23.09.2025;770
produkt_594;09.07.2025;608
produkt_595;28.12.2025;91
produkt_596;15.12.2025;689
produkt_597;02.02.2025;926
produkt_598;09.04.2025;543
produkt_599;27.01.2025;522
produkt_600;05.05.2025;558
produkt_601;16.01.2025;340
produkt_602;02.02.2025;587
produkt_603;25.09.2025;773
produkt_604;16.08.2025;318
produkt_605;06.09.2025;141
produkt_606;07.04.2025;284
produkt_607;18.01.2025;988
produkt_608;04.11.2025;185
produkt_609;24.06.2025;824
produkt_610;11.04.2025;516
produkt_611;10.07.2025;895
produkt_612;01.10.2025;962
produkt_613;12.02.2025;495
produkt_614;13.02.2025;639
produkt_615;04.05.2025;248
produkt_616;16.04.2025;437
produkt_617;14.02.2025;969
produkt_618;30.05.2025;977
produkt_619;03.05.2025;144
produkt_620;09.09.2025;495
produkt_621;13.09.2025;907
produkt_622;29.07.2025;766
produkt_623;23.07.2025;716
produkt_624;19.05.2025;896
produkt_625;29.09.2025;761
produkt_626;26.01.2025;850
produkt_627;28.03.2025;534
produkt_628;01.01.2026;870
produkt_629;20.09.2025;844
produkt_630;08.08.2025;644
produkt_631;08.06.2025;529
produkt_632;18.07.2025;332
produkt_633;14.08.2025;356
produkt_634;27.07.2025;940
produkt_635;13.07.2025;354
produkt_636;28.10.2025;396
produkt_637;13.11.2025;291
produkt_638;06.03.2025;729
produkt_639;10.04.2025;265
produkt_640;03.11.2025;851
produkt_641;11.12.2025;680
produkt_642;20.12.2025;168
produkt_643;08.03.2025;196
produkt_644;25.10.2025;726
produkt_645;31.12.2025;62
produkt_646;27.09.2025;989
produkt_647;12.12.2025;921
produkt_648;03.09.2025;911
produkt_649;20.09.2025;162
produkt_650;20.11.2025;987
produkt_651;16.01.2025;351
produkt_652;27.09.2025;739
produkt_653;24.09.2025;124
produkt_654;23.08.2025;545
produkt_655;26.02.2025;186
produkt_656;24.11.2025;64
produkt_657;04.12.2025;392
produkt_658;29.12.2025;944
produkt_659;18.11.2025;204
produkt_660;10.08.2025;312
produkt_661;10.08.2025;216
produkt_662;22.11.2025;411
produkt_663;03.09.2025;266
produkt_664;27.07.2025;592
produkt_665;26.08.2025;136
produkt_666;02.10.2025;674
produkt_667;22.08.2025;429
produkt_668;08.03.2025;453
produkt_669;25.05.2025;192
produkt_670;17.05.2025;372
produkt_671;08.08.2025;898
produkt_672;08.03.2025;179
produkt_673;25.08.2025;813
produkt_674;04.07.2025;763
produkt_675;18.02.2025;820
produkt_676;08.04.2025;424
produkt_677;17.05.2025;456
produkt_678;17.11.2025;825
produkt_679;22.04.2025;301
produkt_680;30.06.2025;553
produkt_681;25.02.2025;953
produkt_682;06.05.2025;354
produkt_683;06.04.2025;819
produkt_684;04.04.2025;303
produkt_685;13.12.2025;827
produkt_686;19.06.2025;674
produkt_687;12.09.2025;190
produkt_688;21.08.2025;609
produkt_689;02.03.2025;549
produkt_690;23.01.2025;482
produkt_691;18.07.2025;128
produkt_692;13.01.2025;51
produkt_693;07.09.2025;451
produkt_694;23.09.2025;965
produkt_695;03.01.2025;779
produkt_696;03.04.2025;268
produkt_697;23.07.2025;927
produkt_698;02.10.2025;536
produkt_699;07.11.2025;673
produkt_700;09.08.2025;912
produkt_701;13.06.2025;87
produkt_702;13.08.2025;398
produkt_703;30.01.2025;853
produkt_704;25.06.2025;950
produkt_705;05.05.2025;965
produkt_706;11.02.2025;283
produkt_707;15.07.2025;450
produkt_708;21.06.2025;733
produkt_709;08.08.2025;379
produkt_710;26.11.2025;614
produkt_711;29.07.2025;501
produkt_712;02.12.2025;185
produkt_713;26.02.2025;894
produkt_714;11.06.2025;641
produkt_715;03.11.2025;535
produkt_716;22.03.2025;914
produkt_717;30.05.2025;713
produkt_718;22.09.2025;872
produkt_719;29.07.2025;467
produkt_720;29.01.2025;810
produkt_721;07.06.2025;822
produkt_722;22.05.2025;781
produkt_723;07.05.2025;292
produkt_724;30.03.2025;830
produkt_725;10.10.2025;489
produkt_726;02.10.2025;241
produkt_727;08.03.2025;842
produkt_728;07.10.2025;609
produkt_729;02.05.2025;965
produkt_730;22.07.2025;928
produkt_731;29.11.2025;442
produkt_732;20.07.2025;106
produkt_733;01.07.2025;234
produkt_734;18.11.2025;527
produkt_735;15.11.2025;771
produkt_736;24.08.2025;309
produkt_737;27.11.2025;677
produkt_738;20.05.2025;379
produkt_739;30.03.2025;290
produkt_740;15.04.2025;108
produkt_741;25.04.2025;497
produkt_742;15.11.2025;875
produkt_743;19.11.2025;398
produkt_744;24.10.2025;916
produkt_745;11.11.2025;256
produkt_746;15.08.2025;473
produkt_747;04.08.2025;392
produkt_748;29.06.2025;533
produkt_749;08.09.2025;202
produkt_750;04.05.2025;957
produkt_751;01.05.2025;312
produkt_752;07.01.2025;487
produkt_753;06.02.2025;908
produkt_754;24.07.2025;643
produkt_755;14.02.2025;149
produkt_756;01.06.2025;813
produkt_757;24.01.2025;515
produkt_758;21.02.2025;169
produkt_759;04.08.2025;699
produkt_760;23.04.2025;288
produkt_761;21.10.2025;724
produkt_762;15.09.2025;610
produkt_763;22.11.2025;160
produkt_764;01.08.2025;286
produkt_765;21.09.2025;664
produkt_766;27.03.2025;527
produkt_767;13.04.2025;765
produkt_768;23.12.2025;975
produkt_769;22.09.2025;816
produkt_770;25.05.2025;462
produkt_771;26.09.2025;102
produkt_772;12.12.2025;414
produkt_773;11.11.2025;936
produkt_774;16.03.2025;60
produkt_775;14.08.2025;338
produkt_776;13.03.2025;97
produkt_777;11.06.2025;882
produkt_778;03.01.2025;703
produkt_779;16.08.2025;898
produkt_780;02.10.2025;231
produkt_781;10.11.2025;915
produkt_782;13.01.2025;806
produkt_783;27.03.2025;347
produkt_784;04.03.2025;585
produkt_785;04.06.2025;245
produkt_786;30.07.2025;498
produkt_787;14.07.2025;251
produkt_788;25.08.2025;403
produkt_789;11.06.2025;931
produkt_790;10.01.2025;244
produkt_791;09.06.2025;544
produkt_792;10.06.2025;769
produkt_793;07.09.2025;848
produkt_794;25.01.2025;975
produkt_795;26.03.2025;919
produkt_796;25.01.2025;542
produkt_797;17.02.2025;383
produkt_798;02.05.2025;741
produkt_799;13.05.2025;895
produkt_800;28.08.2025;866
produkt_801;15.04.2025;165
produkt_802;06.03.2025;316
produkt_803;04.10.2025;931
produkt_804;30.10.2025;287
produkt_805;25.11.2025;424
produkt_806;17.01.2025;281
produkt_807;08.01.2025;625
produkt_808;01.11.2025;943
produkt_809;29.09.2025;997
produkt_810;12.05.2025;186
produkt_811;03.08.2025;729
produkt_812;01.03.2025;942
produkt_813;27.02.2025;997
produkt_814;26.08.2025;445
produkt_815;30.12.2025;774
produkt_816;16.06.2025;307
produkt_817;08.02.2025;781
produkt_818;08.04.2025;77
produkt_819;10.02.2025;576
produkt_820;15.01.2025;134
produkt_821;24.09.2025;409
produkt_822;07.06.2025;123
produkt_823;21.04.2025;633
produkt_824;18.02.2025;96
produkt_825;28.03.2025;287
produkt_826;23.04.2025;79
produkt_827;02.02.2025;777
produkt_828;16.02.2025;750
produkt_829;30.11.2025;821
produkt_830;01.11.2025;721
produkt_831;21.11.2025;601
produkt_832;11.12.2025;214
produkt_833;05.11.2025;311
produkt_834;27.01.2025;173
produkt_835;16.03.2025;988
produkt_836;23.05.2025;244
produkt_837;18.10.2025;677
produkt_838;17.06.2025;750
produkt_839;07.05.2025;434
produkt_840;21.02.2025;421
produkt_841;29.04.2025;250
produkt_842;23.09.2025;707
produkt_843;20.06.2025;243
produkt_844;08.07.2025;890
produkt_845;27.07.2025;221
produkt_846;04.01.2025;408
produkt_847;19.12.2025;609
produkt_848;30.01.2025;802
produkt_849;09.08.2025;696
produkt_850;30.12.2025;983
produkt_851;07.08.2025;834
produkt_852;17.06.2025;360
produkt_853;27.05.2025;789
produkt_854;19.03.2025;906
produkt_855;04.09.2025;544
produkt_856;29.03.2025;785
produkt_857;12.03.2025;993
produkt_858;18.09.2025;375
produkt_859;22.01.2025;863
produkt_860;06.09.2025;738
produkt_861;29.06.2025;288
produkt_862;23.04.2025;700
produkt_863;16.07.2025;322
produkt_864;19.06.2025;466
produkt_865;08.07.2025;217
produkt_866;24.06.2025;859
produkt_867;11.10.2025;790
produkt_868;08.08.2025;897
produkt_869;09.10.2025;134
produkt_870;14.12.2025;498
produkt_871;10.03.2025;509
produkt_872;31.03.2025;182
produkt_873;29.03.2025;92
produkt_874;06.12.2025;856
produkt_875;04.08.2025;694
produkt_876;11.09.2025;337
produkt_877;15.02.2025;929
produkt_878;29.11.2025;440
produkt_879;16.03.2025;619
produkt_880;06.12.2025;522
produkt_881;25.02.2025;337
produkt_882;09.12.2025;394
produkt_883;28.11.2025;803
produkt_884;30.12.2025;733
produkt_885;20.11.2025;503
produkt_886;13.01.2025;902
produkt_887;26.06.2025;602
produkt_888;08.04.2025;360
produkt_889;19.10.2025;271
produkt_890;22.06.2025;925
produkt_891;09.11.2025;548
produkt_892;09.06.2025;843
produkt_893;18.01.2025;94
produkt_894;02.01.2025;917
produkt_895;25.03.2025;284
produkt_896;15.02.2025;265
produkt_897;20.02.2025;820
produkt_898;15.09.2025;477
produkt_899;11.03.2025;107
produkt_900;16.11.2025;543
produkt_901;13.04.2025;391
produkt_902;16.11.2025;964
produkt_903;14.11.2025;713
produkt_904;04.01.2025;635
produkt_905;04.11.2025;605
produkt_906;26.04.2025;827
produkt_907;19.09.2025;891
produkt_908;29.07.2025;968
produkt_909;10.07.2025;703
produkt_910;13.01.2025;216
produkt_911;23.06.2025;887
produkt_912;28.10.2025;856
produkt_913;27.01.2025;627
produkt_914;02.07.2025;721
produkt_915;04.07.2025;93
produkt_916;14.12.2025;462
produkt_917;01.12.2025;62
produkt_918;18.10.2025;923
produkt_919;03.06.2025;901
produkt_920;05.01.2025;136
produkt_921;20.03.2025;795
produkt_922;14.04.2025;89
produkt_923;17.01.2025;554
produkt_924;01.04.2025;968
produkt_925;08.11.2025;162
produkt_926;24.02.2025;267
produkt_927;20.03.2025;578
produkt_928;22.12.2025;963
produkt_929;19.03.2025;807
produkt_930;03.07.2025;343
